127.0.0.1 - - [08/Nov/2022:16:45:08 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:45:10 +0700] "GET /test1/NewFile.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:45:10 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:46:17 +0700] "GET /test1/NewFile.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:46:18 +0700] "GET /test1/NewFile.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:46:35 +0700] "GET /test1/NewFile.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:47:43 +0700] "GET /test1/NewFile.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:47:43 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:48:23 +0700] "GET /123/NewFile.jsp HTTP/1.1" 404 671
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:48:42 +0700] "GET /test1/NewFile.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:48:57 +0700] "GET /123/NewFile.jsp HTTP/1.1" 404 671
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:49:30 +0700] "GET /test1/NewFile.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:50:24 +0700] "GET /test1/NewFile.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:54:20 +0700] "GET /test1/NewFile.jsp HTTP/1.1" 200 145
