127.0.0.1 - - [15/Dec/2022:09:15:47 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/HOME.jsp HTTP/1.1" 200 37193
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/logo.png HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/features/f1.png HTTP/1.1" 200 19929
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/features/f5.png HTTP/1.1" 200 20436
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/script.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/features/f6.png HTTP/1.1" 200 17438
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/features/f4.png HTTP/1.1" 200 21594
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/features/f2.png HTTP/1.1" 200 29370
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/f2.jpg HTTP/1.1" 200 171419
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/f1.jpg HTTP/1.1" 200 112320
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/f3.jpg HTTP/1.1" 200 182592
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/f4.jpg HTTP/1.1" 200 88149
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/features/f3.png HTTP/1.1" 200 17609
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/f5.jpg HTTP/1.1" 200 125548
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/f6.jpg HTTP/1.1" 200 163925
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/f7.jpg HTTP/1.1" 200 63658
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/f8.jpg HTTP/1.1" 200 180069
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/n2.jpg HTTP/1.1" 200 120451
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/n1.jpg HTTP/1.1" 200 11192
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/n5.jpg HTTP/1.1" 200 56431
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/n7.jpg HTTP/1.1" 200 30664
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/n6.jpg HTTP/1.1" 200 48579
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/n8.jpg HTTP/1.1" 200 25220
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/n3.jpg HTTP/1.1" 200 11956
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/pay/pay.png HTTP/1.1" 200 12193
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/products/n4.jpg HTTP/1.1" 200 38498
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/pay/play.jpg HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/pay/app.jpg HTTP/1.1" 200 3583
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/hero4.png HTTP/1.1" 200 857651
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/button.png HTTP/1.1" 200 5172
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/banner/b10.jpg HTTP/1.1" 200 43547
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/banner/b2.jpg HTTP/1.1" 200 17381
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/banner/b4.jpg HTTP/1.1" 200 258166
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/banner/b18.jpg HTTP/1.1" 200 54707
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/banner/b14.png HTTP/1.1" 200 73725
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/banner/b17.jpg HTTP/1.1" 200 26657
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:48 +0700] "GET /web1/img/banner/b7.jpg HTTP/1.1" 200 16345
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:51 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:57 +0700] "GET /web1/HOME.jsp HTTP/1.1" 200 37193
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:15:57 +0700] "GET /web1/script.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:16:29 +0700] "GET /web1/testACC HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:16:42 +0700] "GET /web1/HOME.jsp HTTP/1.1" 200 37193
0:0:0:0:0:0:0:1 - - [15/Dec/2022:09:16:42 +0700] "GET /web1/script.js HTTP/1.1" 404 691
